"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff2_slopes","Diff1_slopes",0.789783351856988,-0.0427597244431162,0.34492321190748
"6","Distance","Diff1_slopes",0.322003571577362,-0.117421820548632,0.270828977845479
"7","Diff1_slopes","Diff2_slopes",0.789783351856988,-0.043389210542579,0.344067135064299
"12","Distance","Diff2_slopes",49.3524923106186,-0.487956105694738,-0.133267096956259
"13","Diff1_slopes","Triplets",0.269696984418518,-0.245241601353025,0.144800345597838
"14","Diff2_slopes","Triplets",0.501486783079111,-0.312706778348657,0.0754246717803661
"18","Distance","Triplets",0.274716759567023,-0.140139013907771,0.246622402640382
"19","Diff1_slopes","Diff_triplets",0.254308174757482,-0.162129374412544,0.231841232637813
"20","Diff2_slopes","Diff_triplets",0.469547150819182,-0.309176568377887,0.0834132612877265
"24","Distance","Diff_triplets",0.318709248278929,-0.119457203260535,0.267778432651868
"25","Diff1_slopes","Longest",0.442179800989868,-0.0914838536073441,0.305904151600473
"26","Diff2_slopes","Longest",0.245547410490298,-0.210846985259623,0.192729764890077
"30","Distance","Longest",0.240731448591325,-0.20187352123046,0.193330832616876
"31","Diff1_slopes","Enjoyment",0.374236457584822,-0.0995826464703694,0.283515508485202
"32","Diff2_slopes","Enjoyment",0.30073103737551,-0.26168583496816,0.127124275153116
"36","Distance","Enjoyment",0.234392919164507,-0.182700386848869,0.201454128782221
"37","Diff1_slopes","Distance",0.322003571577362,-0.117583692918804,0.269147561043274
"38","Diff2_slopes","Distance",49.3524923106186,-0.48700859823319,-0.133156863113702
